Date,Open,High,Low,Close,Adj Close,Volume,Index
2020-11-24,3594.52,3642.31,3594.52,3635.41,3635.41,6267570000.0,GSPC
2020-11-23,3566.82,3589.81,3552.77,3577.59,3577.59,5036290000.0,GSPC
2020-11-20,3579.31,3581.23,3556.85,3557.54,3557.54,4218970000.0,GSPC
2020-11-19,3559.41,3585.22,3543.84,3581.87,3581.87,4347200000.0,GSPC
2020-11-18,3612.09,3619.09,3567.33,3567.79,3567.79,5274450000.0,GSPC
2020-11-17,3610.31,3623.11,3588.68,3609.53,3609.53,4799570000.0,GSPC
2020-11-16,3600.16,3628.51,3600.16,3626.91,3626.91,5281980000.0,GSPC
2020-11-13,3552.57,3593.66,3552.57,3585.15,3585.15,4709670000.0,GSPC
2020-11-12,3562.67,3569.02,3518.58,3537.01,3537.01,4890120000.0,GSPC
2020-11-11,3563.22,3581.16,3557.0,3572.66,3572.66,4609970000.0,GSPC
2020-11-10,3543.26,3557.22,3511.91,3545.53,3545.53,6024230000.0,GSPC
2020-11-09,3583.04,3645.99,3547.48,3550.5,3550.5,8556610000.0,GSPC
2020-11-06,3508.34,3521.58,3484.34,3509.44,3509.44,4833950000.0,GSPC
2020-11-05,3485.74,3529.05,3485.74,3510.45,3510.45,4841190000.0,GSPC
2020-11-04,3406.46,3486.25,3405.17,3443.44,3443.44,4783040000.0,GSPC
2020-11-03,3336.25,3389.49,3336.25,3369.16,3369.16,4220070000.0,GSPC
2020-11-02,3296.2,3330.14,3279.74,3310.24,3310.24,4310590000.0,GSPC
2020-10-30,3293.59,3304.93,3233.94,3269.96,3269.96,4840450000.0,GSPC
2020-10-29,3277.17,3341.05,3259.82,3310.11,3310.11,4903070000.0,GSPC
2020-10-28,3342.48,3342.48,3268.89,3271.03,3271.03,5129860000.0,GSPC
2020-10-27,3403.15,3409.51,3388.71,3390.68,3390.68,3946990000.0,GSPC
2020-10-26,3441.42,3441.42,3364.86,3400.97,3400.97,3988080000.0,GSPC
2020-10-23,3464.9,3466.46,3440.45,3465.39,3465.39,3646570000.0,GSPC
2020-10-22,3438.5,3460.53,3415.34,3453.49,3453.49,4163630000.0,GSPC
2020-10-21,3439.91,3464.86,3433.06,3435.56,3435.56,4097750000.0,GSPC
2020-10-20,3439.38,3476.93,3435.65,3443.12,3443.12,3901260000.0,GSPC
2020-10-19,3493.66,3502.42,3419.93,3426.92,3426.92,4086200000.0,GSPC
2020-10-16,3493.5,3515.76,3480.45,3483.81,3483.81,4675890000.0,GSPC
2020-10-15,3453.72,3489.08,3440.89,3483.34,3483.34,3717640000.0,GSPC
2020-10-14,3515.47,3527.94,3480.55,3488.67,3488.67,3840630000.0,GSPC
2020-10-13,3534.01,3534.01,3500.86,3511.93,3511.93,3605150000.0,GSPC
2020-10-12,3500.02,3549.85,3499.61,3534.22,3534.22,3428970000.0,GSPC
2020-10-09,3459.67,3482.34,3458.07,3477.14,3477.14,3939060000.0,GSPC
2020-10-08,3434.28,3447.28,3428.15,3446.83,3446.83,3856190000.0,GSPC
2020-10-07,3384.56,3426.26,3384.56,3419.44,3419.44,3807830000.0,GSPC
2020-10-06,3408.74,3431.56,3354.54,3360.97,3360.97,4443380000.0,GSPC
2020-10-05,3367.27,3409.57,3367.27,3408.6,3408.6,3686920000.0,GSPC
2020-10-02,3338.94,3369.1,3323.69,3348.42,3348.42,3961550000.0,GSPC
2020-10-01,3385.87,3397.18,3361.39,3380.8,3380.8,4070530000.0,GSPC
2020-09-30,3341.21,3393.56,3340.47,3363.0,3363.0,4722530000.0,GSPC
2020-09-29,3350.92,3357.92,3327.54,3335.47,3335.47,3651880000.0,GSPC
2020-09-28,3333.9,3360.74,3332.91,3351.6,3351.6,3946060000.0,GSPC
2020-09-25,3236.66,3306.88,3228.44,3298.46,3298.46,3792220000.0,GSPC
2020-09-24,3226.14,3278.7,3209.45,3246.59,3246.59,4599470000.0,GSPC
2020-09-23,3320.11,3323.35,3232.57,3236.92,3236.92,4364500000.0,GSPC
2020-09-22,3295.75,3320.31,3270.95,3315.57,3315.57,3963300000.0,GSPC
2020-09-21,3285.57,3285.57,3229.1,3281.06,3281.06,4828350000.0,GSPC
2020-09-18,3357.38,3362.27,3292.4,3319.47,3319.47,7068700000.0,GSPC
2020-09-17,3346.86,3375.17,3328.82,3357.01,3357.01,4371940000.0,GSPC
2020-09-16,3411.23,3428.92,3384.45,3385.49,3385.49,4710030000.0,GSPC
2020-09-15,3407.73,3419.48,3389.25,3401.2,3401.2,4051460000.0,GSPC
2020-09-14,3363.56,3402.93,3363.56,3383.54,3383.54,3832130000.0,GSPC
2020-09-11,3352.7,3368.95,3310.47,3340.97,3340.97,3704450000.0,GSPC
2020-09-10,3412.56,3425.55,3329.25,3339.19,3339.19,4192250000.0,GSPC
2020-09-09,3369.82,3424.77,3366.84,3398.96,3398.96,3920830000.0,GSPC
2020-09-08,3371.88,3379.97,3329.27,3331.84,3331.84,4665600000.0,GSPC
2020-09-04,3453.6,3479.15,3349.63,3426.96,3426.96,4431440000.0,GSPC
2020-09-03,3564.74,3564.85,3427.41,3455.06,3455.06,4898680000.0,GSPC
2020-09-02,3543.76,3588.11,3535.23,3580.84,3580.84,4285190000.0,GSPC
2020-09-01,3507.44,3528.03,3494.6,3526.65,3526.65,4083110000.0,GSPC
2020-08-31,3509.73,3514.77,3493.25,3500.31,3500.31,4342290000.0,GSPC
2020-08-28,3494.69,3509.23,3484.32,3508.01,3508.01,3855880000.0,GSPC
2020-08-27,3485.14,3501.38,3468.35,3484.55,3484.55,3929560000.0,GSPC
2020-08-26,3449.97,3481.07,3444.15,3478.73,3478.73,3754360000.0,GSPC
2020-08-25,3435.95,3444.21,3425.84,3443.62,3443.62,3619300000.0,GSPC
2020-08-24,3418.09,3432.09,3413.13,3431.28,3431.28,3728690000.0,GSPC
2020-08-21,3386.01,3399.96,3379.31,3397.16,3397.16,3705420000.0,GSPC
2020-08-20,3360.48,3390.8,3354.69,3385.51,3385.51,3642850000.0,GSPC
2020-08-19,3392.51,3399.54,3369.66,3374.85,3374.85,3884480000.0,GSPC
2020-08-18,3387.04,3395.06,3370.15,3389.78,3389.78,3881310000.0,GSPC
2020-08-17,3380.86,3387.59,3379.22,3381.99,3381.99,3671290000.0,GSPC
2020-08-14,3368.66,3378.51,3361.64,3372.85,3372.85,3193400000.0,GSPC
2020-08-13,3372.95,3387.24,3363.35,3373.43,3373.43,3648810000.0,GSPC
2020-08-12,3355.46,3387.89,3355.46,3380.35,3380.35,3768560000.0,GSPC
2020-08-11,3370.34,3381.01,3326.44,3333.69,3333.69,5087650000.0,GSPC
2020-08-10,3356.04,3363.29,3335.44,3360.47,3360.47,4318570000.0,GSPC
2020-08-07,3340.05,3352.54,3328.72,3351.28,3351.28,4104860000.0,GSPC
2020-08-06,3323.17,3351.03,3318.14,3349.16,3349.16,4267490000.0,GSPC
2020-08-05,3317.37,3330.77,3317.37,3327.77,3327.77,4732220000.0,GSPC
2020-08-04,3289.92,3306.84,3286.37,3306.51,3306.51,4621670000.0,GSPC
2020-08-03,3288.26,3302.73,3284.53,3294.61,3294.61,4643640000.0,GSPC
2020-07-31,3270.45,3272.17,3220.26,3271.12,3271.12,5117260000.0,GSPC
2020-07-30,3231.76,3250.92,3204.13,3246.22,3246.22,4254010000.0,GSPC
2020-07-29,3227.22,3264.74,3227.22,3258.44,3258.44,4676300000.0,GSPC
2020-07-28,3234.27,3243.72,3216.17,3218.44,3218.44,4027890000.0,GSPC
2020-07-27,3219.84,3241.43,3214.25,3239.41,3239.41,3963910000.0,GSPC
2020-07-24,3218.58,3227.26,3200.05,3215.63,3215.63,3894900000.0,GSPC
2020-07-23,3271.64,3279.99,3222.66,3235.66,3235.66,4290460000.0,GSPC
2020-07-22,3254.86,3279.32,3253.1,3276.02,3276.02,4255190000.0,GSPC
2020-07-21,3268.52,3277.29,3247.77,3257.3,3257.3,4547960000.0,GSPC
2020-07-20,3224.29,3258.61,3215.16,3251.84,3251.84,3971200000.0,GSPC
2020-07-17,3224.21,3233.52,3205.65,3224.73,3224.73,3993830000.0,GSPC
2020-07-16,3208.36,3220.39,3198.59,3215.57,3215.57,3961230000.0,GSPC
2020-07-15,3225.98,3238.28,3200.76,3226.56,3226.56,4669760000.0,GSPC
2020-07-14,3141.11,3200.95,3127.66,3197.52,3197.52,4476170000.0,GSPC
2020-07-13,3205.08,3235.32,3149.43,3155.22,3155.22,4890780000.0,GSPC
