date,daily_cases,Country
"September 7, 2020","['45,350']",US
"September 6, 2020","['49,131', '49,131']",US
"September 5, 2020","['44,563']",US
"September 4, 2020","['39,402', '39,402']",US
"September 3, 2020","['42,662']",US
"September 2, 2020","['31,808', '31,808']",US
"September 1, 2020","['37,068']",US
"August 31, 2020","['43,983', '43,983']",US
"August 30, 2020","['44,002']",US
"August 29, 2020","['46,194', '46,194']",US
"August 28, 2020","['45,484']",US
"August 27, 2020","['37,030', '37,030']",US
"August 26, 2020","['32,883']",US
"August 25, 2020","['37,765', '37,765']",US
"August 24, 2020","['44,946']",US
"August 23, 2020","['45,960', '45,960']",US
"August 22, 2020","['43,952']",US
"August 21, 2020","['46,259']",US
"August 20, 2020","['37,908', '37,908']",US
"August 19, 2020","['39,125']",US
"August 18, 2020","['41,073', '41,073']",US
"August 17, 2020","['54,375']",US
"August 16, 2020","['55,359', '55,359']",US
"August 15, 2020","['52,799']",US
"August 14, 2020","['55,907', '55,907']",US
"August 13, 2020","['54,791']",US
"August 12, 2020","['39,894', '39,894']",US
"August 11, 2020","['47,964']",US
"August 10, 2020","['53,893', '53,893']",US
"August 9, 2020","['61,028']",US
"August 8, 2020","['55,318', '55,318']",US
"August 7, 2020","['53,373']",US
"August 6, 2020","['49,629', '49,629']",US
"August 5, 2020","['49,151']",US
"August 4, 2020","['47,183', '47,183']",US
"August 3, 2020","['58,388']",US
"August 2, 2020","['67,499']",US
"August 1, 2020","['67,823', '67,823']",US
"July 31, 2020","['65,406']",US
"July 30, 2020","['59,629', '59,629']",US
"July 29, 2020","['54,022']",US
"July 28, 2020","['61,498', '61,498']",US
"July 27, 2020","['63,968']",US
"July 26, 2020","['74,235', '74,235']",US
"July 25, 2020","['71,714']",US
"July 24, 2020","['69,641', '69,641']",US
"July 23, 2020","['62,929']",US
"July 22, 2020","['57,276', '57,276']",US
"July 21, 2020","['62,788']",US
"July 20, 2020","['66,963', '66,963']",US
"July 19, 2020","['74,354']",US
"July 18, 2020","['71,484', '71,484']",US
"July 17, 2020","['67,165']",US
"July 16, 2020","['60,711', '60,711']",US
"July 15, 2020","['58,720']",US
"July 14, 2020","['60,113']",US
"July 13, 2020","['62,369', '62,369']",US
"July 12, 2020","['66,281']",US
"July 11, 2020","['58,975', '58,975']",US
"July 10, 2020","['64,630']",US
"July 9, 2020","['50,263', '50,263']",US
"July 8, 2020","['46,194']",US
"July 7, 2020","['43,686', '43,686']",US
"July 6, 2020","['57,186']",US
"July 5, 2020","['51,933', '51,933']",US
"July 4, 2020","['53,213']",US
"July 3, 2020","['54,271', '54,271']",US
"July 2, 2020","['43,556']",US
"July 1, 2020","['35,757', '35,757']",US
"June 30, 2020","['41,008']",US
"June 29, 2020","['44,580', '44,580']",US
"June 28, 2020","['44,458']",US
"June 27, 2020","['40,526', '40,526']",US
"June 26, 2020","['37,601']",US
"June 25, 2020","['34,191']",US
"June 24, 2020","['26,519', '26,519']",US
"June 23, 2020","['27,575']",US
"June 22, 2020","['32,349', '32,349']",US
"June 21, 2020","['36,617']",US
"June 20, 2020","['23,046', '23,046']",US
"June 19, 2020","['23,139']",US
